  FormatDate	<D> <M> <Y>
  FormTalentQueryRelocate	За [clr]15 000[/clr] egm вы можете войти в [clr]60[/clr] минутный режим перераспределения всех технологий у всех капитанов.\nВы хотите активировать этот режим?
  FormTalentTimeRelocate	До завершения режима перераспределения\nосталось <font color='#ffff00'><Val></font> минут.
  FormTalentNoUnresech	Разучить технологию вы можете только в режиме перераспределения.
  FormEnterCaption	ВХОД
  FormEnterName	E-mail
  FormEnterPassword	Пароль
  FormEnterBut	ВОЙТИ
  FormEnterButTraining	ОБУЧЕНИЕ
  FormEnterSaveName	Запомнить имя
  FormEnterSaveAll	Запомнить ключ доступа
  FormEnterHWOff	Чтобы продолжить вы должны войти в настройки и включить аппаратное ускорение. Затем перезайти в игру.
  FormEnterHWOffAIR	Чтобы продолжить вы должны войти в игру через сайт и включить аппаратное ускорение графики. После чего вы можете играть как в браузере так и в клиентской версии игры.
  FormEnterHWOldDriver	Чтобы продолжить вы должны установить новую версию драйвера к вашей видеокарте.
  FormEnterFlashOps	НАСТРОЙКИ
  FormEnterButExit	ВЫХОД
  FormEnterServer	Сервер
  FormEnterProtocol	Протокол
  FormEnterScale	Масштаб
  FormEnterTxtTraining	[justify]Начав обучение, вы в интерактивном режиме познакомитесь со многими аспектами достаточно сложной, но интересной игры. По завершению обучения вам предложат создать новый аккаунт, после чего вы сможете совместно играть с другими игроками.[/justify]
  FormEnterTabTraining	обучение
  FormEnterTabLogin	логин
  FormEnterTabSet	настройки
  FormEnterProtocolRaw	Raw
  FormEnterProtocolDefaultHTTP	Default HTTP
  FormEnterNewNameCaption	ИМЯ
  FormEnterNewNameCaptionNewName	НОВОЕ ИМЯ
  FormEnterNewNameTxtNewName	Ваш псевдоним купил другой игрок. Введите ваш новый псевдоним	
  FormEnterNewNameTxt	Введите ваш публичный псевдоним, чтобы отличать вас от других игроков	
  FormEnterNewNameErrName	Ошибочное имя.
  FormEnterNewNameErrLen	Имя должно содержать от 2 до 16 символов.
  FormEnterNewNameErrChar	Имя должно состоять только из букв одного алфавита, цифр или пробела.
  FormEnterNewNameErrBadWord	В имени не должна содержаться ненормативная лексика.
  FormEnterNewNameErrReserve	Имя зарезервировано.
  FormEnterNewNameErrNone	Имя свободно.
  FormEnterNewNameErrUse	Имя занято. Выберите другое.
  FormEnterContinue	ПРОДОЛЖИТЬ
  FormBuyNameMenu	Покупка имени
  FormBuyNameCaption	ПОКУПКА ИМЕНИ
  FormBuyNameTxt	[justify][p]За <Price> egm вы можете купить новый псевдоним. Купить можно только тот псевдоним, который не куплен другим игроком. Если другой игрок использует псевдоним купленный вами, то ему придется сменить свой псевдоним на новый.[/p][p]Кроме того, при покупке имени, вам дается либо продлевается инжектор контроля на 15 дней.[/p][/justify]
  FormBuyNameButBuy	КУПИТЬ
  FormBuyNameComplate	Псевдоним успешно приобретен. Изменения вступят через несколько секунд.
  FormRegCloneMenu	Регистрация клона
  FormRegCloneCaption	РЕГИСТРАЦИЯ КЛОНА
  FormRegCloneTxt	[justify][p]Если у вас имеется больше одного аккаунта, то вы должны зарегистрировать дополнительные аккаунты как клоны. Для этого введите в нижеследующие поля e-mail и пароль основного аккаунта. И после регистрации данный аккаунт будет привязан к основному как клон.[/p][p]Допускается одновременно играть только на одном аккаунте, но при этом другие аккаунты будут заблокированы на две недели. По истечению этого времени вы можете переключиться на любой другой клон-аккаунт. Блокировка и переключение происходит автоматически при входе в игру.[/p] [p][crt]ВНИМАНИЕ ![/crt] Запрещено иметь не зарегистрированных клонов званием “кадет” и выше. Не соблюдение этого закона влечёт за собой блокирование доступа к игре и большому штрафу![/p] [/justify]
  FormRegCloneBut	РЕГИСТРАЦИЯ
  FormRegCloneErrNoAccess	[crt]ОШИБКА[/crt]. Скорей всего вы не правильно указали e-mail и пароль основного аккаунта.
  FormRegCloneErrNeedOther	[crt]ОШИБКА[/crt]. Требуется указать основной аккаунт или другой клон-аккаунт.
  FormRegCloneComplate	Клон успешно зарегистрирован.
  FormRegMenu	Регистрация
  FormRegEmailCaption	РЕГИСТРАЦИЯ
  FormRegEmailText	[justify][p]Пройдя процедуру регистрации, введя email и пароль для входа в игру, вы конвертируете данный временный аккаунт в постоянный и привяжете его к свой почтовому ящику.[/p][p]Пожалуйста, укажите правильный email, для того чтобы в случае утраты пароля вы смогли восстановить доступ к аккаунту.[/p][p][crt]ВНИМАНИЕ![/crt] Запрещено использовать не зарегистрированных клонов. Не честных игроков выявляем, затем штрафуем и банем.[/p][/justify][br]
  FormRegEmailComplate	[justify]Регистрация завершена.[/justify]
  FormRegEmail	Email
  FormRegPassword	Пароль
  FormRegReg	РЕГИСТРАЦИЯ
  FormRegErrUse	На данный email уже зарегистрирован аккаунт. Укажите другой.
  FormRegErrChar	Не корректный email.
  FormRegErrPwdLen	Не указан пароль.
  FormNewsCaption	Галактические новости
  FormNewsLinkImport	Импорт
  FormNewsLinkExport	Экспорт
  HyperspaceStar	Звезда
  HyperspacePlanet	Планета
  HyperspaceSputnik	Спутник
  HyperspaceInCotl	в созвездии
  HyperspaceInCotlUser	в созвездии игрока
  HyperspaceAddCotlProtect	Добавить защитное созвездие
  HyperspaceCotlEditCaption	Параметры созвездия" 
  HyperspaceCotlId	Идентификатор" 
  HyperspaceCotlType	Тип
  HyperspaceCotlPfx	Префикс
  HyperspaceCotlName	Название
  HyperspaceCotlDesc	Описание
  HyperspaceCotlSize	Размер
  HyperspaceCotlProtectDate	Защита до
  HyperspaceCotlDevTime	До окончания разработки
  HyperspaceCotlDevDays	Дней
  HyperspaceCotlBonus	Бонус" 
  HyperspaceCotlBonusVal	Значение" 
  HyperspaceCotlRewardExp	Опыт" 
  HyperspaceCotlMaxRating	Максимальный рейтинг" 
  HyperspaceCotlDevNeed	Свободно для разработки.
  HyperspaceCotlDevelopment	В разработке
  HyperspaceCotlTemplate	Шаблон
  HyperspaceCotlPortalEnterShip	Вход кораблей
  HyperspaceCotlPortalEnterFlagship	Вход флагманов
  HyperspaceCotlPortalEnterAllItem	Все товары
  HyperspaceCotlCombat	Битва
  HyperspaceCotlDev	Разработчик
  HyperspaceCotlAccessAssignRights	Назначение прав
  HyperspaceCotlAccessView	Просмотр
  HyperspaceCotlAccessEditMap	Изменение карты
  HyperspaceCotlAccessEditCode	Изменение кода
  HyperspaceCotlAccessEditOps	Изменение настроек
  HyperspaceCotlDevBuy	Купить разработку
  HyperspaceCotlDevBuyContinue	Продлить разработку
  HyperspaceCotlDevBuyQuery	Вы можете начать разрабатывать данное созвездие за <Cost> cr. Право на разработку выдается сроком на один день.
  HyperspaceCotlDevBuyContinueQuery	Вы можете продлить на один день право разрабатывать данное созвездие за <Cost> cr.
  HyperspacePlanetName	Планета
  HyperspaceRace	Раса
  HyperspaceZoneEdit	Редактировать зону
  HyperspaceZoneRating	Рейтинг
  HyperspaceZonePrice	Стоимость
  HyperspaceZoneDev0	Разработчик 1
  HyperspaceZoneDev1	Разработчик 2
  HyperspaceZoneDev2	Разработчик 3
  HyperspaceZoneDev3	Разработчик 4
  FormFleetBarAutoPilot	Автоматическая работа пилотов
  FormFleetBarAutoGive	Автоматическое снаряжение кораблей
  FormFleetBarDestroyShip	Взорвать
  FormFleetBarDestroyShipQuery	Вы действительно хотите взорвать корабли?
  FormFleetBarCaption	Флот
  FormFleetBarLoadFuel	Заправить топливом
  FormFleetBarLoadFuelTxt	Объем топлива, которым нужно заправить флот	
  FormFleetBarLoadFuelOk	Заправить
  FormFleetBarBuyFuel	Купить топливо
  FormFleetBarBuyFuelCaption	Покупка топлива" 
  FormFleetBarBuyFuelCost	Стоимость (egm)" 
  FormFleetBarBuyFuelCnt	Вы хотите купить <font color='#ffff00'><Cnt></font> ед. топлива за <font color='#ffff00'><Sum></font> egm?" 
  FormFleetBarBuyHoldLvl	Расширение трюма
  FormFleetBarBuyHoldLvlQuery	Вы хотите купить для трюма флота 8 дополнительных мест за [clr]<Val>[/clr] cr?
  FormFleetBarBuyHoldCargoLvl	Расширение транспортного трюма
  FormFleetBarBuyHoldCargoLvlQuery	Вы хотите расширить транспортный трюм до [clr]x<Mul>[/clr] за [clr]<Val>[/clr] cr?
  FormFleetBarReturn	Возврат
  FormFleetBarFleetType	Построение
  FormFleetBarCotlMove	Бесплатный перенос созвездия
  FormFleetBarCotlMovePay	Платный перенос созвездия
  FormFleetBarReturnQuery	Один раз в [clr]8[/clr] часов вы можете вернуть свой флот на орбиту вашего созвездия. Вы хотите вернуть флот?"  
  FormFleetBarReturnCooldown	Вернуть флот на орбиту вашего созвездия можно через [clr]<Val>[/clr]."  
  FormFleetItemUse	Использовать
  FormFleetItemDestroy	Уничтожить
  FormFleetItemDestroyQuery	Вы действительно хотите уничтожить товар в трюме флота?
  FormGiveCaption	Снарядить
  FormGiveOk	Снарядить
  FormGiveCnt	Количество
  FormGiveType	Оборудование
  FormCombatCaptionCombat	Битва
  FormCombatCaptionDuel	Поединок
  FormCombatCaptionBattle	Битва
  FormCombatCaptionFlagship	с флагманами
  FormCombatFeaturesCombat	Особености	 [clr]Модули - 50%, Опыт - 100%, Захват товара[/clr]
  FormCombatFeaturesDuel	Особености	 [clr]Модули - 90%, Опыт - 10%[/clr]
  FormCombatFeaturesBattle	Особености	 [clr]Модули - 50%, Опыт - 300%[/clr]
  FormCombatModeCombat	Флот
  FormCombatModeStat	Статистика
  FormCombatModeRes	Награда
  FormCombatView	Просмотр битвы
  FormCombatOffer	Вызвать на поединок
  FormCombatAtk	Нападение
  FormCombatDef	Защита
  FormCombatAtkCaption	Нападение
  FormCombatDefCaption	Защита
  FormCombatUser	Игроки
  FormCombatRating	Рейтинг
  FormCombatMass	Флот
  FormCombatLost	Потери
  FormCombatDestroy	Уничтожено
  FormCombatDamage	Урон
  FormCombatModule	Модули
  FormCombatExp	Опыт
  FormCombatReturn	(Возврат)
  FormCombatInvite	Пригласить в битву
  FormCombatLeave	Покинуть битву
  FormCombatLeaveAndJump	Покинуть и вернуться
  FormCombatReady	Готов к битве
  FormCombatReadyShow	Готово к битве
  FormCombatEnter	Войти в битву
  FormCombatReadyTime	Битва начнется через
  FormCombatTimeBegin	До начала
  FormCombatTimeEnd	До завершения
  FormCombatTimePlacing	Расстановка кораблей. До начала активных действий: <Val>.
  FormCombatMsgBegin	[center]До начала активных действий разместите[br]корабли на стартовых позициях.[/center][br][center]Цель	 [clr]Уничтожение флота неприятеля и[br]удержание ключевых планет.[/clr][/center]
  FormCombatWin	Победа!
  FormCombatLoss	Поражение!
  FormCombatWinUser	Победил
  FormCombatWinUsers	Победили
  FormCombatWinAtk	Победила нападающая сторона!
  FormCombatWinDef	Победила защищающаяся сторона!
  FormCombatItemWin	Товары в космосе
  FormCombatItemLoss	Потерянные товары
  FormCombatItemTake	Вы подобрали товары
  FormCombatTake	Подобрать
  FormCombatNewOwner	Новый владелец
  FormCombatJoinQuery	Вы согласны?
  FormCombatExclude	Исключить
  FormCombatUp	Вверх
  FormCombatDown	Вниз
  FormCombatErrInBattle	Операция отклонена. Игрок уже участвует в битве.
  FormCombatErrNoReady	Операция отклонена. Двигатели флота игрока должны быть отключены.
  FormHistModeDesc	Описание
  FormHistModeJournal	Журнал
  FormHistModeImport	Импорт
  FormHistModeExport	Экспорт
  FormHistModeFind	Поиск
  FormHistGoodsCotl	Созвездие
  FormHistGoodsType	Товар
  FormHistGoodsDist	сек.
  FormHistGoodsCntIndefinitely	неограниченно
  FormHistGoodsCntImport	Требуется
  FormHistGoodsCntExport	Продается
  FormHistGoodsCntImport2	Требуемый объем
  FormHistGoodsCntExport2	Продаваемый объем
  FormHistGoodsStorage	Объем	 Владелец
  FormHistGoodsStorage2	Хранимый объем
  FormHistGoodsMoney	cr	 Владелец
  FormHistGoodsMoney2	cr
  FormHistGoodsCnt	Объем
  FormHistGoodsName	Наименование
  FormHistGoodsStep	ед.
  FormHistGoodsPrice	Цена
  FormHistGoodsStorage	Хранимый объем
  FormHistTradeSum	Сумма
  FormHistTradePrice	Цена
  FormHistImportCaption	Импортировать
  FormHistExportCaption	Экспортировать
  FormHistAdd	Добавить
  FormHistEdit	Изменить
  FormHistBuy	Купить
  FormHistSell	Продать
  FormHistGoodsAdd	Добавить товар
  FormHistGoodsEdit	Изменить товар
  FormHistGoodsDelete	Удалить товар
  FormHistAddCaption	Добавить запись
  FormHistEditCaption	Изменить запись
  FormHistDeleteCaption	Удалить запись
  FormHistDeleteQuery	Вы действительно хотите удалить запись?
  FormHistDate	Приоритет
  FormHistType	Тип
  FormHistTypeText	Простой
  FormHistTypeExt	Расширенный
  FormHistTypeLog	Лог
  FormHistText	Текст
  FormHistPages	Запись
  FormHistEnter	Войти
  FormHistJournal	Журнал
  FormHistErrTextLen	Ошибка	 Текст должен быть от 1 до 15000 символов.
  FormHistErrText	Ошибка	 В тексте присутствует недопустимый символ <CharCode> в позиции <Offset>.
  FormHistErrTagUnknown	Неизвестный тэг в позиции <Offset>.
  FormHistErrStackEmpty	Для закрывающего тэга [<Tag>] в позиции <Offset> должен присутствовать открывающий тэг.
  FormHistErrStackRemove	Найден неправильный закрывающий тэг в позиции <Offset>. Требуется закрывающий тэг	 [/<Tag>].
  FormHistErrStackFill	Не хватает закрывающего тэга [/<Tag>] в позиции <Offset>.
  FormHistErrStackSmall	Слишком много вложенных тэгов в позиции <Offset>.
  FormHistErrURL	Неправильный адрес в позиции <Offset>.
  FormHistErrText	Недопустимые символы в позиции <Offset>.
  FormHistTradeItemNoMore	У вас уже есть данный товар в торговой секции. Измените его, а не добавляйте новый.
  FormHistBeacon	Радиомаяк
  FormHistBeaconQuery	Во включенном состоянии радиомаяка, ваше созвездие видно на больших расстояниях. Вы уверены, что хотите его включить?
  FormMenuTech	Технологии
  FormMenuPactList	Договора
  FormMenuUnion	Альянс
  FormMenuPlusar	Инжекторы
  FormMenuNormalScreen	В оконный режим
  FormMenuFullScreen	На полный экран
  FormMenuSet	Настройки
  FormMenuCotlJump	Перенос созвездия
  FormMenuCotlNew	Новое созвездие
  FormMenuExit	Выход
  FormItemBalansCaption	Баланс
  FormItemBalansCnt	В наличии
  FormItemBalansNeed	Потребление
  FormItemBalansProd	Производство
  FormItemBalansBalans	Баланс
  FormPlanetItemBalans	Баланс
  FormPlanetToFleet	В трюм флота (пробел)
  FormPlanetToFleetMoney	Собрать (пробел)
  FormPlanetSackToFleet	Грабить в трюм флота (пробел)
  FormPlanetSackToFleetMoney	Грабить (пробел)
  FormPlanetToTransport	Загрузить в транспорты
  FormPlanetBuilding	Планетарные постройки
  FormPlanetCellUpgrade	Улучшить
  FormPlanetCellUpgradeBut	[Улучшить (пробел)]
  FormPlanetCellCancel	Отменить (пробел)
  FormPlanetCellDestroy	Разрушить
  FormPlanetCellDestroyQuery	Вы действительно хотите разрушить постройку на планете?
  FormPlanetCellDestroyModuleQuery	Вы действительно хотите потратить <Val> модулей, чтобы разрушить постройку на планете?
  FormPlanetItemShowCnt	Отображение количества
  FormPlanetItemNoMove	Не перевозить
  FormPlanetItemToPortal	Перебрасывать через портал
  FormPlanetItemImport	Импортировать
  FormPlanetItemExport	Экспортировать
  FormPlanetItemExportInfo	При автоматическом экспорте товара, раз в минуту товар перевозится с планеты в хранилище созвездия.[br]При одном цикле перевозки - потребляется топливо, которое должно находиться на планете.
  FormPlanetItemImportInfo	При автоматическом импорте товара, раз в минуту товар перевозится на планету из хранилища созвездия.
  FormPlanetItemDestroy	Уничтожить
  FormPlanetItemDestroyQuery	Вы действительно хотите уничтожить?
  FormPlanetItemClear	Очистить
  FormPlanetItemBuildDefectFactor	Брак
  FormPlanetItemBuild	Производить
  FormPlanetItemBuildNav	Обучать
  FormPlanetItemBuildIncHomeworldModule	Столичное производство
  FormPlanetItemBuildIncBaseModule	Производство на базе
  FormPlanetItemBuildInc	Производство
  FormPlanetItemBuildDec	Потребление
  FormPlanetItemBuildChain	Цикл производства
  FormPlanetItemBuildBase	Производимые товары
  FormPlanetItemBuildSupply	Потребляемые товары
  FormPlanetItemBuildAdd	Дополнительное производство
  FormPlanetItemEditItem	Редактируемый товар
  FormPlanetItemDifficult	Сложность
  FormPlanetEnergy	Электроэнергия
  FormPlanetNoEnough	Недостаточно электроэнергии.
  FormPlanetNoEnoughDel	Операция недопустима, так как будет недостаточно электроэнергии.
  FormPlanetStorageSize	Объем
  FormPlanetCityNalog	Деньги от налогов
  FormPlanetCityNalog2	Налоги
  FormPlanetBuildErrNoCrystalOre	Построить невозможно, так как на планете нет кристаллических разломов.
  FormPlanetBuildErrNoTitanOre	Построить невозможно, так как на планете нет ильменитовых месторождений.
  FormPlanetBuildErrNoSiliconOre	Построить невозможно, так как на планете нет кварцитных месторождений.
  FormPlanetBuildingNeedLargePlanet	Построить можно только на обитаемых планетах.
  FormPlanetBuildingNeedSmallPlanet	Построить можно только на малых планетах.
  FormPlanetOreCrystalName	Кристаллический разлом
  FormPlanetOreTitanName	Ильменитовое месторождение
  FormPlanetOreSiliconName	Кварцитное месторождение
  FormPlanetOreCrystalDesc	Из разлома можно добывать антикристаллы, если построить кристаллический резак.
  FormPlanetOreTitanDesc	Из месторождения можно добывать титан, если построить титановый рудник.
  FormPlanetOreSiliconDesc	Из месторождения можно добывать кремний, если построить кремниевый рудник.
  FormPlanetBonusCaptionNavigator	Навыки
  FormPlanetBonusChangeErrorBuildNav	В процессе обучения невозможно поменять навык у пилотов.
  FormPlanetBonusChangeErrorCntNav	Невозможно поменять навык у обученных пилотов.
  FormConstructionSelect	Выбрать постройку...
  FormConstructionCaption	Планетарные постройки
  FormConstructionPageBase	Основные
  FormConstructionPageMining	Добывающие
  FormConstructionPageRefining	Перерабатывающие
  FormConstructionPageLive	Культурные
  FormConstructionPageProduction	Производственные
  FormConstructionPageEquipment	Технологические
  FormConstructionBuyLvlFirst	Открыть за [clr]<Val>[/clr] cr
  FormConstructionBuyLvlFirstQuery	Вы хотите открыть постройку за [clr]<Val>[/clr] cr?
  FormConstructionBuyLvlQuery	Вы хотите перейти на следующий технологический уровень за [clr]<Val>[/clr] cr?
  FormSplitItemCaption	Распределение
  FormSplitItemOk	Распределить
  FormHyperspaceAttackQuery	Атаковать флот?"  
  FormHyperspaceLeaveOrbitQuery	Вы уверены, что хотите покинуть орбиту созвездия?
  FormHyperspaceLeaveOrbitLeave	ПОКИНУТЬ
  FormHyperspaceLeaveOrbitStay	ОСТАТЬСЯ
  FormFleetTypeCaption	Построение флота
  FormFleetType0Caption	Разведывательное
  FormFleetType1Caption	Боевое
  FormFleetType2Caption	Походное
  FormFleetType3Caption	Грузовое
  FormFleetType4Caption	Транспортное
  FormFleetTypeActivate	Активировать
  FormFleetTypeOpen	Открыть за [clr]<Val>[/clr] cr
  FormFleetTypeOpenQuery	Вы уверены, что хотите открыть это построение флота за [clr]<Val>[/clr] cr?
  FormFleetTypeNoChangeEmptyTransportCargo	Невозможно изменить построение флота.[br]Сначала вы должны очистить транспортные слоты.
  FormFleetTypeNoChangeLimitTransportCargo	Невозможно изменить построение флота, так как трюмы будут переполнены.[br]Сначала необходимо ограничить число товаров в транспортных слотах.
  FormFleetTypeNoChangeLimitMass	Невозможно изменить построение флота, так как масса флота слишком большая.[br]Сначала необходимо вывести лишние корабли из флота.
  FormFleetTypeNoChangeLimitSlot	Невозможно изменить построение флота, так как занято седьмое место во флоте.
  FormFleetTypeNoHomeOrbit	Построение флота можно изменить, только если флот находится на орбите вашего личного созвездия или созвездия с вашим анклавом.
  FormFleetTypeNoCotlMove	В грузовом или транспортном построении нельзя перенести личное созвездие.
  FormFleetType0Txt	[center]Масса флота	 [clr]300 000[/clr][/center]" 
  FormFleetType1Txt	[center]Масса флота	 [clr]900 000[/clr][/center]
  FormFleetType2Txt	[center]Масса флота	 [clr]1 400 000[/clr][/center]
  FormFleetType3Txt	[center]Масса флота	 [clr]450 000[/clr][/center][center]Транспортный трюм	 [clr]x5[/clr][/center]
  FormFleetType4Txt	[center]Масса флота	 [clr]600 000[/clr][/center][center]Транспортный трюм	 [clr]x10[/clr][/center]
  StorageCaption	Созвездие
  StoragePageDesc	i
  StoragePageJournal	Журнал
  StoragePageStorage	Хранилище
  StoragePageImport	Импорт
  StoragePageExport	Экспорт
  StoragePageFind	Поиск
  StorageOp	Меню
  StorageChange	Изменить
  StorageDel	Удалить
  StorageGoodsChangeCaption	Изменить
  StorageImportCaption	Импортировать
  StorageExportCaption	Экспортировать
  StorageChangeEx	Изменить детально
  StorageGoods	Товар
  StorageCnt	Кол-во
  StorageLimitImport	Предел
  StorageLimitExport	Предел
  StoragePrice	Цена
  StorageMin	Минимально
  StorageMax	Максимально
  StorageNeedMoney	Для обеспечения импорта товаров, в хранилище, не хватает <Sum> cr.
  StorageEd	ед.
  StorageStep	за <Val> ед.
  StorageBuy	Купить
  StorageSell	Продать
  StorageSum	Сумма
  StorageSearch	Поиск
  StorageSearchImport	Импорт
  StorageSearchExport	Экспорт
  StorageSearchCotl	Созвездие
  StorageGoToCaption	Настройки
  StorageGoToPage	Запись
  StorageGoTo	Установить
  StorageFilter	Фильтр
  StorageEnter	Войти
  StorageErrAccess	Ошибка	 Нет доступа.
  StorageSack	Грабить
  StorageSackCaption	Грабить
  StorageSackCnt	Кол-во
  ItemPageCurrency	Валюта
  ItemPageOre	Элементы
  ItemPageRefine	Сырьё
  ItemPageSupply	Снабжение
  ItemPageMaterial	Материалы
  ItemPageOutfit	Снаряжение
  ItemPagePilot	Пилоты
  ItemPageOther	Другое
  TicketExAttack	Идет бой
  TicketExAttackEnd	Завершился бой
  TicketCaptureTake	Захват планеты
  TicketCaptureLost	Потеря планеты
  TicketExSack	Разграбление ресурсов
  TicketExSackNewOwner	Грабитель
  TicketAttack	Идет бой на вашей планете в секторе <SectorX>,<SectorY> с агрессором <User> (<UserUnion>) 
  TicketAttackEnd	Завершился бой в секторе <SectorX>,<SectorY> с агрессором <User> (<UserUnion>).
  TicketPactSend	Вы отправили договор игроку <User> (<UserUnion>)
  TicketPactQuery	Вы получили договор от игрока <User> (<UserUnion>)
  TicketPactAccept	Вы заключили договор с игроком <User> (<UserUnion>)
  TicketPactReject	Договор с игроком <User> (<UserUnion>) был отклонен.
  TicketPactComplate	Завершен договор между Вами и игроком <User> (<UserUnion>).
  TicketPactNoRes	Не хватает ресурсов для заключения договора между Вами и игроком <User> (<UserUnion>).
  TicketPactTimeOut	Игрок <User> (<UserUnion>) не ответил на предложенный Вами договор.
  TicketPactTimeOut2	Вы не ответили на договор предложенный игроком <User> (<UserUnion>).
  TicketPactChange	Договор с игроком <User> (<UserUnion>) не заключен, так как изменились условия.
  TicketPactBreak	Разорван договор между вами и игроком <User> (<UserUnion>)."  
  TicketUnionJoinFromQuery	Вы предложили игроку <User> войти в альянс <Union>.
  TicketUnionJoinFromAccept	Игрок <User> присоединился к альянсу <Union>.
  TicketUnionJoinFromCancel	Вы отозвали заявку на присоединения игрока <User> к альянсу <Union>.
  TicketUnionJoinFromCancel2	Игрок <User> отказался войти в альянс <Union>.
  TicketUnionJoinToQuery	Игрок <User> предложил вам войти в альянс <Union>.
  TicketUnionJoinToAccept	Вы вошли в альянс <Union>.
  TicketUnionJoinToCancel	Игрок <User> отозвал заявку на присоединение вас к альянсу <Union>.
  TicketUnionJoinToCancel2	Вы отказались войти в альянс <Union>.
  TicketCaptureCaptureUser	Вы захватили планету игрока <User> (<UserUnion>).
  TicketCaptureCapture	Вы захватили планету.
  TicketCaptureLostUser	Игрок <User> (<UserUnion>) захватил вашу планету.
  TicketCaptureLost	Вы потеряли планету.
  TicketCaptureAntimatter	Захвачено антиматерии
  TicketCaptureMetal	Захвачено металла
  TicketCaptureElectronics	Захвачено электроники
  TicketCaptureProtoplasm	Захвачено протоплазмы
  TicketCaptureNodes	Захвачено нодов
  TicketSack	Игрок <User> разграбил планету на <Val> модулей." 
  TicketDelete	Удалить запись
  TicketAnnihilation	Игрок <User> аннигилирует девастаторы." 
  TicketCombat_Duel_New_From_Query	Вы вызвали игрока <User> (<UserUnion>) на поединок.
  TicketCombat_Duel_New_From_NoAnswer	Игрок <User> (<UserUnion>) не ответил на ваш вызов и не примет участие в поединке.
  TicketCombat_Duel_New_From_Ok	Игрок <User> (<UserUnion>) принял ваш вызов и примет участие в поединке.
  TicketCombat_Duel_New_From_Cancel	Игрок <User> (<UserUnion>) отказался участвовать в поединке.
  TicketCombat_Duel_New_To_Query	Игрок <User> (<UserUnion>) вызывает вас на поединок.
  TicketCombat_Duel_New_To_NoAnswer	Вы не ответили игроку <User> (<UserUnion>) на предложенный им поединок.
  TicketCombat_Duel_New_To_Ok	Вы согласились на поединок с игроком <User> (<UserUnion>).
  TicketCombat_Duel_New_To_Cancel	Вы отказались от поединка с игроком <User> (<UserUnion>).
  TicketCombat_Duel_Join_From_Query	Вы попросили игрока <User> (<UserUnion>) принять участие в поединке на вашей стороне.
  TicketCombat_Duel_Join_From_NoAnswer	Игрок <User> (<UserUnion>) не ответил на вашу просьбу и не примет участие в поединке на вашей стороне.
  TicketCombat_Duel_Join_From_Ok	Игрок <User> (<UserUnion>) принял вашу просьбу и примет участие в поединке на вашей стороне.
  TicketCombat_Duel_New_From_Cancel	Игрок <User> (<UserUnion>) отказался участвовать в поединке на вашей стороне.
  TicketCombat_Duel_Join_To_Query	Игрок <User> (<UserUnion>) просит вас принять участие в поединке на его стороне.
  TicketCombat_Duel_Join_To_NoAnswer	Вы не ответили игроку <User> (<UserUnion>) на его просьбу участия в поединке на его стороне.
  TicketCombat_Duel_Join_To_Ok	Вы согласились принять участие в поединке на стороне игрока <User> (<UserUnion>).
  TicketCombat_Duel_Join_To_Cancel	Вы отказались принять участие в поединке на стороне игрока <User> (<UserUnion>).
  TicketCombat_Battle_New_From_Query	Вы вызвали игрока <User> (<UserUnion>) на битву.
  TicketCombat_Battle_New_From_NoAnswer	Игрок <User> (<UserUnion>) не ответил на ваш вызов и не примет участие в битве.
  TicketCombat_Battle_New_From_Ok	Игрок <User> (<UserUnion>) принял ваш вызов и примет участие в битве.
  TicketCombat_Battle_New_From_Cancel	Игрок <User> (<UserUnion>) отказался участвовать в битве.
  TicketCombat_Battle_New_To_Query	Игрок <User> (<UserUnion>) вызывает вас на битву.
  TicketCombat_Battle_New_To_NoAnswer	Вы не ответили игроку <User> (<UserUnion>) на предложенную им битву.
  TicketCombat_Battle_New_To_Ok	Вы согласились на битву с игроком <User> (<UserUnion>).
  TicketCombat_Battle_New_To_Cancel	Вы отказались от битвы с игроком <User> (<UserUnion>).
  TicketCombat_Battle_Join_From_Query	Вы попросили игрока <User> (<UserUnion>) принять участие в битве на вашей стороне.
  TicketCombat_Battle_Join_From_NoAnswer	Игрок <User> (<UserUnion>) не ответил на вашу просьбу и не примет участие в битве на вашей стороне.
  TicketCombat_Battle_Join_From_Ok	Игрок <User> (<UserUnion>) принял вашу просьбу и примет участие в битве на вашей стороне.
  TicketCombat_Battle_New_From_Cancel	Игрок <User> (<UserUnion>) отказался участвовать в битве на вашей стороне.
  TicketCombat_Battle_Join_To_Query	Игрок <User> (<UserUnion>) просит вас принять участие в битве на его стороне.
  TicketCombat_Battle_Join_To_NoAnswer	Вы не ответили игроку <User> (<UserUnion>) на его просьбу участия в битве на его стороне.
  TicketCombat_Battle_Join_To_Ok	Вы согласились принять участие в битве на стороне игрока <User> (<UserUnion>).
  TicketCombat_Battle_Join_To_Cancel	Вы отказались принять участие в битве на стороне игрока <User> (<UserUnion>).
  FormExitCaption	ВЫХОД
  FormExitFast	быстрый
  FormExitLong	долгий
  FormExitCotlJumpCaption	ПЕРЕНОС СОЗВЕЗДИЯ
  FormExitCotlJumpDefault	стандартный
  FormExitCotlJumpPay	платный
  FormExitNewCpation	НОВОЕ СОЗВЕЗДИЕ
  FormExitNewRnd	случайное
  FormExitNewClear	обучение"  
